"model","aic","deviance","year_df","has_holiday","spline_fun","df","data_split"
"ns_2_2_2_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",2,"max"
"ns_2_2_2_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",2,"max"
"ns_2_3_3_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",3,"max"
"ns_2_3_3_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",3,"max"
"ns_2_4_4_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",4,"max"
"ns_2_4_4_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",4,"max"
"ns_2_5_5_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",5,"max"
"ns_2_5_5_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",5,"max"
"ns_2_6_6_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",6,"max"
"ns_2_6_6_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",6,"max"
"ns_2_7_7_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",7,"max"
"ns_2_7_7_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"ns",7,"max"
"bs_2_2_2_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",2,"max"
"bs_2_2_2_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",2,"max"
"bs_2_3_3_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",3,"max"
"bs_2_3_3_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",3,"max"
"bs_2_4_4_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",4,"max"
"bs_2_4_4_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",4,"max"
"bs_2_5_5_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",5,"max"
"bs_2_5_5_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",5,"max"
"bs_2_6_6_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",6,"max"
"bs_2_6_6_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",6,"max"
"bs_2_7_7_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",7,"max"
"bs_2_7_7_hum_temp_no2_without_holiday",566.488249496524,81.6549201219169,2,FALSE,"bs",7,"max"
"ns_2_2_2_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",2,"mix"
"ns_2_2_2_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",2,"mix"
"ns_2_3_3_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",3,"mix"
"ns_2_3_3_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",3,"mix"
"ns_2_4_4_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",4,"mix"
"ns_2_4_4_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",4,"mix"
"ns_2_5_5_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",5,"mix"
"ns_2_5_5_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",5,"mix"
"ns_2_6_6_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",6,"mix"
"ns_2_6_6_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",6,"mix"
"ns_2_7_7_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",7,"mix"
"ns_2_7_7_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"ns",7,"mix"
"bs_2_2_2_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",2,"mix"
"bs_2_2_2_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",2,"mix"
"bs_2_3_3_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",3,"mix"
"bs_2_3_3_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",3,"mix"
"bs_2_4_4_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",4,"mix"
"bs_2_4_4_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",4,"mix"
"bs_2_5_5_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",5,"mix"
"bs_2_5_5_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",5,"mix"
"bs_2_6_6_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",6,"mix"
"bs_2_6_6_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",6,"mix"
"bs_2_7_7_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",7,"mix"
"bs_2_7_7_hum_temp_no2_without_holiday",566.556404669621,81.7230752950144,2,FALSE,"bs",7,"mix"
"ns_1_2_2_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",2,"min"
"ns_1_2_2_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",2,"min"
"ns_1_3_3_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",3,"min"
"ns_1_3_3_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",3,"min"
"ns_1_4_4_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",4,"min"
"ns_1_4_4_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",4,"min"
"ns_1_5_5_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",5,"min"
"ns_1_5_5_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",5,"min"
"ns_1_6_6_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",6,"min"
"ns_1_6_6_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",6,"min"
"ns_1_7_7_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",7,"min"
"ns_1_7_7_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"ns",7,"min"
"bs_1_2_2_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",2,"min"
"bs_1_2_2_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",2,"min"
"bs_1_3_3_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",3,"min"
"bs_1_3_3_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",3,"min"
"bs_1_4_4_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",4,"min"
"bs_1_4_4_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",4,"min"
"bs_1_5_5_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",5,"min"
"bs_1_5_5_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",5,"min"
"bs_1_6_6_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",6,"min"
"bs_1_6_6_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",6,"min"
"bs_1_7_7_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",7,"min"
"bs_1_7_7_hum_temp_pm10_o3_no2_without_holiday",566.61382704541,79.7804976708041,1,FALSE,"bs",7,"min"
"ns_1_2_2_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",2,"mean"
"ns_1_2_2_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",2,"mean"
"ns_1_3_3_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",3,"mean"
"ns_1_3_3_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",3,"mean"
"ns_1_4_4_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",4,"mean"
"ns_1_4_4_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",4,"mean"
"ns_1_5_5_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",5,"mean"
"ns_1_5_5_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",5,"mean"
"ns_1_6_6_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",6,"mean"
"ns_1_6_6_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",6,"mean"
"ns_1_7_7_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",7,"mean"
"ns_1_7_7_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"ns",7,"mean"
"bs_1_2_2_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",2,"mean"
"bs_1_2_2_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",2,"mean"
"bs_1_3_3_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",3,"mean"
"bs_1_3_3_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",3,"mean"
"bs_1_4_4_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",4,"mean"
"bs_1_4_4_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",4,"mean"
"bs_1_5_5_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",5,"mean"
"bs_1_5_5_hum_temp_pm10_no2_without_holiday",566.632589291079,81.799259916473,1,FALSE,"bs",5,"mean"
