"model","aic","deviance","year_df","has_holiday","spline_fun","df","data_split"
"ns_1_2_2_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",2,"mean"
"ns_1_2_2_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",2,"mean"
"ns_1_3_3_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",3,"mean"
"ns_1_3_3_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",3,"mean"
"ns_1_4_4_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",4,"mean"
"ns_1_4_4_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",4,"mean"
"ns_1_5_5_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",5,"mean"
"ns_1_5_5_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",5,"mean"
"ns_1_6_6_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",6,"mean"
"ns_1_6_6_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",6,"mean"
"ns_1_7_7_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",7,"mean"
"ns_1_7_7_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"ns",7,"mean"
"bs_1_2_2_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",2,"mean"
"bs_1_2_2_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",2,"mean"
"bs_1_3_3_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",3,"mean"
"bs_1_3_3_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",3,"mean"
"bs_1_4_4_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",4,"mean"
"bs_1_4_4_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",4,"mean"
"bs_1_5_5_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",5,"mean"
"bs_1_5_5_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",5,"mean"
"bs_1_6_6_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",6,"mean"
"bs_1_6_6_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",6,"mean"
"bs_1_7_7_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",7,"mean"
"bs_1_7_7_hum_temp_no2_without_holiday",564.701042673191,81.8677132985841,1,FALSE,"bs",7,"mean"
"ns_1_2_2_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",2,"max"
"ns_1_2_2_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",2,"max"
"ns_1_3_3_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",3,"max"
"ns_1_3_3_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",3,"max"
"ns_1_4_4_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",4,"max"
"ns_1_4_4_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",4,"max"
"ns_1_5_5_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",5,"max"
"ns_1_5_5_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",5,"max"
"ns_1_6_6_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",6,"max"
"ns_1_6_6_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",6,"max"
"ns_1_7_7_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",7,"max"
"ns_1_7_7_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"ns",7,"max"
"bs_1_2_2_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",2,"max"
"bs_1_2_2_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",2,"max"
"bs_1_3_3_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",3,"max"
"bs_1_3_3_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",3,"max"
"bs_1_4_4_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",4,"max"
"bs_1_4_4_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",4,"max"
"bs_1_5_5_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",5,"max"
"bs_1_5_5_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",5,"max"
"bs_1_6_6_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",6,"max"
"bs_1_6_6_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",6,"max"
"bs_1_7_7_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",7,"max"
"bs_1_7_7_hum_temp_no2_without_holiday",564.763420322084,81.9300909474771,1,FALSE,"bs",7,"max"
"ns_1_2_2_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",2,"mix"
"ns_1_2_2_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",2,"mix"
"ns_1_3_3_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",3,"mix"
"ns_1_3_3_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",3,"mix"
"ns_1_4_4_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",4,"mix"
"ns_1_4_4_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",4,"mix"
"ns_1_5_5_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",5,"mix"
"ns_1_5_5_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",5,"mix"
"ns_1_6_6_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",6,"mix"
"ns_1_6_6_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",6,"mix"
"ns_1_7_7_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",7,"mix"
"ns_1_7_7_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"ns",7,"mix"
"bs_1_2_2_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",2,"mix"
"bs_1_2_2_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",2,"mix"
"bs_1_3_3_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",3,"mix"
"bs_1_3_3_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",3,"mix"
"bs_1_4_4_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",4,"mix"
"bs_1_4_4_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",4,"mix"
"bs_1_5_5_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",5,"mix"
"bs_1_5_5_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",5,"mix"
"bs_1_6_6_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",6,"mix"
"bs_1_6_6_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",6,"mix"
"bs_1_7_7_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",7,"mix"
"bs_1_7_7_hum_temp_no2_without_holiday",565.291526553823,82.4581971792167,1,FALSE,"bs",7,"mix"
"ns_2_2_2_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",2,"mean"
"ns_2_2_2_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",2,"mean"
"ns_2_3_3_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",3,"mean"
"ns_2_3_3_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",3,"mean"
"ns_2_4_4_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",4,"mean"
"ns_2_4_4_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",4,"mean"
"ns_2_5_5_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",5,"mean"
"ns_2_5_5_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",5,"mean"
"ns_2_6_6_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",6,"mean"
"ns_2_6_6_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",6,"mean"
"ns_2_7_7_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",7,"mean"
"ns_2_7_7_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"ns",7,"mean"
"bs_2_2_2_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",2,"mean"
"bs_2_2_2_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",2,"mean"
"bs_2_3_3_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",3,"mean"
"bs_2_3_3_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",3,"mean"
"bs_2_4_4_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",4,"mean"
"bs_2_4_4_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",4,"mean"
"bs_2_5_5_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",5,"mean"
"bs_2_5_5_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",5,"mean"
"bs_2_6_6_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",6,"mean"
"bs_2_6_6_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",6,"mean"
"bs_2_7_7_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",7,"mean"
"bs_2_7_7_hum_temp_no2_without_holiday",566.137667245394,81.3043378707874,2,FALSE,"bs",7,"mean"
"ns_1_2_2_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",2,"max"
"ns_1_2_2_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",2,"max"
"ns_1_3_3_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",3,"max"
"ns_1_3_3_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",3,"max"
"ns_1_4_4_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",4,"max"
"ns_1_4_4_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",4,"max"
"ns_1_5_5_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",5,"max"
"ns_1_5_5_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",5,"max"
"ns_1_6_6_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",6,"max"
"ns_1_6_6_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",6,"max"
"ns_1_7_7_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",7,"max"
"ns_1_7_7_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"ns",7,"max"
"bs_1_2_2_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",2,"max"
"bs_1_2_2_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",2,"max"
"bs_1_3_3_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",3,"max"
"bs_1_3_3_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",3,"max"
"bs_1_4_4_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",4,"max"
"bs_1_4_4_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",4,"max"
"bs_1_5_5_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",5,"max"
"bs_1_5_5_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",5,"max"
"bs_1_6_6_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",6,"max"
"bs_1_6_6_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",6,"max"
"bs_1_7_7_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",7,"max"
"bs_1_7_7_hum_temp_pm10_no2_without_holiday",566.417893116885,81.5845637422779,1,FALSE,"bs",7,"max"
"ns_1_2_2_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",2,"mean"
"ns_1_2_2_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",2,"mean"
"ns_1_3_3_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",3,"mean"
"ns_1_3_3_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",3,"mean"
"ns_1_4_4_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",4,"mean"
"ns_1_4_4_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",4,"mean"
"ns_1_5_5_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",5,"mean"
"ns_1_5_5_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",5,"mean"
"ns_1_6_6_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",6,"mean"
"ns_1_6_6_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",6,"mean"
"ns_1_7_7_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",7,"mean"
"ns_1_7_7_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"ns",7,"mean"
"bs_1_2_2_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",2,"mean"
"bs_1_2_2_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",2,"mean"
"bs_1_3_3_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",3,"mean"
"bs_1_3_3_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",3,"mean"
"bs_1_4_4_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",4,"mean"
"bs_1_4_4_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",4,"mean"
"bs_1_5_5_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",5,"mean"
"bs_1_5_5_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",5,"mean"
"bs_1_6_6_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",6,"mean"
"bs_1_6_6_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",6,"mean"
"bs_1_7_7_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",7,"mean"
"bs_1_7_7_hum_temp_no2_with_holiday",566.426929368368,81.5935999937613,1,TRUE,"bs",7,"mean"
